వదంతులతో	గుండె	ఆగి
ఆరోపణలు	గుప్పించారని	వాపోయారు
జరిగిన	నష్టాన్ని	డబ్బులతో
నష్టాన్ని	డబ్బులతో	కొలవలేమని
కేజ్రీవాల్	చేసిన	ఆరోపణలతో
కుటుంబసభ్యులు	అక్రమాలు	పాల్పడ్డారని
అక్రమాలు	పాల్పడ్డారని	కేజ్రీవాల్
మోత	మోగనున్న	వాహన
మోగనున్న	వాహన	ప్రీమియం
రేట్లు	మోత	మోగనున్నాయి
రేట్లను	ఐఆర్డీఏఐ	పెంచనుంది
దాడులపై	తొలిసారి	అంగీకరించిన
ముంబై	మారణహోమాన్ని	నిర్వహించింది
ఉగ్రవాద	అణచివేతపై	జరిగిన
ముంబై	దాడులకు	పాల్పడింది
దాడులకు	పాల్పడింది	పాక్
ముంబై	మారణహోమానికి	పాల్పడింది
మారణహోమానికి	పాల్పడింది	పాక్
దాడుల	సూత్రధారి	అయిన
పోలీసుల	గృహనిర్బంధంలో	ఉన్నాడు
మోదీ	వృద్ధుడు	అవుతున్నారు
యువనేత	కావాలని	మాటలతూట
మాటల	తూటాలు	పేలాయి
ఒకరిపై	ఒకరు	విరుచుకుపడ్డారు
స్వరాన్ని	పెంచుతూ	ప్రధాని
అట్టర్	ప్లాఫ్	అయిందని
చిత్రం	కనిపించబోదని	ఎద్దేవా
విదేశాలకు	పారిపోయారని	ఆరోపించారు
నిర్ణయాన్ని	ఉటంకిస్తూ	ప్రజల
ఉటంకిస్తూ	ప్రజల	సొమ్ము
మొత్తాన్ని	మోదీ	లాక్కున్నారని
ప్రజలు	అవకాశం	ఇవ్వొద్దని
కొన్నింటిని	దుర్వినియోగం	చేస్తోందని
ధ్వంసం	గండం	పొంచి
మసీదు	ధ్వంసానికి	సంబంధించి
మసీదు	ధ్వంసానికి	సంబంధించిన
ధ్వంసానికి	సంబంధించిన	కేసు
సంబంధించిన	కేసు	సుప్రీంకోర్టులో
సుప్రీంకోర్టులో	విచారణకు	రానుంది
ఆరోపణలు	నమోదు	చేసే
ప్రాంతంలో	చోటుచేసుకున్న	ఘటనలకు
ఉమాభారతీకి	గండం	తప్పకపోవచ్చని
మసీదు	ధ్వంసం	జరిగిన
ధ్వంసం	జరిగిన	విషయం
కేసుకు	సంబంధించి	గతంలోనే
నేతలకు	నోటీసులు	పంపించిన
నోటీసులు	పంపించిన	విషయం
నోటీసులు	జారీ	చేసింది
కౌంటర్	దాఖలు	చేయాలని
తీవ్రతను	సుప్రీంకోర్టు	గుర్తించిందని
ప్రతిసారీ	తప్పించుకోలేరని	పొన్నవోలు
తప్పించుకోలేరని	పొన్నవోలు	సుధాకర్రెడ్డి
అత్యాచార	ఆరోపణలు	ఎదుర్కొంటున్న
ఆరోపణలు	ఎదుర్కొంటున్న	ఎస్పీనేత
చేశాయని	సుప్రీంకోర్టు	ఆగ్రహం
ఆగ్రహం	వ్యక్తం	చేసింది
గాయత్రిప్రసాద్	అరెస్టును	ఆపబోమంటూ
లైంగిక	వేధింపులకు	పాల్పడినట్లు
వేధింపులకు	పాల్పడినట్లు	ఆరోపణలు
కేసు	నమోదుచేసేందుకు	పోలీసులు
పోలీసులు	నిరాకరించడంతో	బాధితులు
నిరాకరించడంతో	బాధితులు	సుప్రీంకోర్టుకు
బాధితులు	సుప్రీంకోర్టుకు	వెళ్లారు
ఒకరు	దాడికి	దిగుతున్నారు
గాయత్రి	పోలీసులకు	దొరకకుండా
అరెస్టుపై	స్టేకు	నిరాకరించడంతో
స్టేకు	నిరాకరించడంతో	పాటు
నిరాకరించడంతో	పాటు	రాజకీయం
పాటు	రాజకీయం	చేశారని
రాజకీయం	చేశారని	ఆగ్రహం
చేశారని	ఆగ్రహం	వ్యక్తం
పార్లమెంటుపై	దాడి	జరిగిన
దాడి	జరిగిన	సందర్భంలో
చిత్రబృందంపై	దాడి	చేసిన
దాడి	చేసిన	కర్నిసేనా
తిరిగి	మరోసారి	దాడికి
మరోసారి	దాడికి	పాల్పడింది
ఉపయోగించిన	అద్దాలను	ధ్వంసం
అద్దాలను	ధ్వంసం	చేసింది
అద్దాలను	పూర్తి	తొలగించాలని
పాలనవర్గాన్ని	డిమాండ్	చేస్తున్నామని
ఆగ్రహం	వ్యక్తం	చేస్తూ
చిత్రబృందంపై	దాడికి	పాల్పడిన
దాడికి	పాల్పడిన	విషయం
జాగ్రత్త	అంటున్న	నిపుణులు
బీజేపీ	ప్రభుత్వం	చేయలేనిది
ఢిల్లీలోని	పలు	గుర్తింపులేని
పలు	గుర్తింపులేని	కాలనీలకు
మరోసారి	చర్చ	మొదలైంది
అవకాశం	లేకుండా	కేంద్రప్రభుత్వం
లేకుండా	కేంద్రప్రభుత్వం	బిల్లును
మెడికల్	సమస్యలు	ఉన్నాయని
సమస్యలు	ఉన్నాయని	నిర్ధారణపత్రాలు
శాతం	చొప్పున	పెంచుతూ
చొప్పున	పెంచుతూ	ప్రభుత్వం
ధరల	పెంపు	వర్తిస్తుంది
ఏరకం	మద్యం	కావాలనుకుంటే
రహదారుల	వెంబడి	మద్యం
వెంబడి	మద్యం	అమ్మకాలను
నిషేధించాలని	సుప్రీంకోర్టు	ఆదేశించడంతో
భారతీయుడిపై	పేలిన	విద్వేషపు
పేలిన	విద్వేషపు	తూటా
భుజంలోకి	దూసుకెళ్లిన	బుల్లెట్
బాధితుడి	తండ్రితో	మాట్లాడిన
ఘటనలు	రోజురోజుకూ	పెరిగిపోతున్నాయి
జాత్యహంకార	తూటా	పేలింది
సిక్కు	యువకుడిపై	ముసుగువేసుకున్న
యువకుడిపై	ముసుగువేసుకున్న	ఆగంతకుడు
కాల్పులు	జరిపాడని	కెంట్
భుజంలోకి	బుల్లెట్	దూసుకెళ్లిందని
బుల్లెట్	దూసుకెళ్లిందని	కెంట్
దూసుకెళ్లిందని	కెంట్	పోలీస్
చర్యలు	ఆందోళన	కలిగిస్తున్నాయని
విద్వేషపూరిత	ఘటనలేనని	భావిస్తున్నామని
దీప్	రాయ్	ఘటనను
రాయ్	ఘటనను	విద్వేషపూరిత
సంఘాలు	డిమాండ్	చేశాయి
దాడులు	ఎక్కువయ్యాయని	రెంటాన్
అమెరికన్లలో	ఆందోళన	పెరిగిందన్నారు
సిక్కుసమాజంపై	దాడులు	జరుగుతూనే
దిగ్భ్రాంతి	వ్యక్తం	చేశారు
దీప్	రాయ్	పరిస్థితి
ఘటనపైనా	విచారణ	జరుగుతోందని
అధికారులు	బాధితుడిని	చేరుకుని
బాధితుడిని	చేరుకుని	కుటుంబసభ్యులకు
విచారం	వ్యక్తం	చేశారు
విద్వేషం	ఏరూపంలో	ఉన్నా
ఏరూపంలో	ఉన్నా	ఖండించాలని
భారతీయులపై	జరుగుతున్న	జాత్యహంకార
జరుగుతున్న	జాత్యహంకార	దాడులను
జాత్యహంకార	దాడులను	అరికట్టడానికి
దాడులను	అరికట్టడానికి	ప్రధాని
అరికట్టడానికి	ప్రధాని	నరేంద్రమోదీ
సభలో	విపక్షనేత	మల్లికార్జునఖర్గే
దిగి	భారతీయులపై	దాడులు
అంతర్జాతీయ	సంక్షోభం	తప్పదు
విద్వేషపూరిత	దాడులు	జరగటం
దారుణమని	ఆవేదన	వ్యక్తం
ఆవేదన	వ్యక్తం	చేశారు
నిబంధనను	రద్దుచేస్తూ	ఢిల్లీ
రద్దుచేస్తూ	ఢిల్లీ	విశ్వవిద్యాలయం
కారణాలతో	హాజరుకాలేని	విద్యార్థులకు
పట్టాలను	పరిగణనలోకి	తీసుకోదు
కారణం	చూపితే	చదువు
ఎన్	కౌంటర్	జరిగింది
కానిస్టేబుల్	ప్రాణాలు	కోల్పోయాడు
కాల్పుల్లో	యూరీకి	చెందిన
అహ్మద్	నాయక్	చనిపోయాడు
ఉగ్రవాదసంస్థ	తరఫున	పనిచేస్తున్నట్టు
పెరుగుతున్న	నిత్యావసరాల	ధరలకు
డీఏ	పెంపులేదని	ఉద్యోగసంఘాలు
పెంపులేదని	ఉద్యోగసంఘాలు	అసంతృప్తి
అసంతృప్తి	వ్యక్తం	చేస్తున్నాయి
నిత్యావసరాలు	ఆకాశాన్నంటుతుంటే	కేంద్రం
అధ్యక్షుడు	కుట్టీ	మండిపడ్డారు
ప్రాణానికి	ముప్పు	ఉంది
పేర్కొని	తొలుత	వివాదానికి
తొలుత	వివాదానికి	తెరలేపిన
వివాదానికి	తెరలేపిన	సుచిత్ర
పోస్ట్	చేసి	అలజడి
సరిగాలేదని	వివరణ	ఇచ్చిన
తలుపు	తెరవమని	బెదిరించాడని
ఇబ్బందులకు	గురిచేస్తున్నారని	వాపోయారు
ప్రశ్నించిన	యూపీ	గవర్నర్
ఆరోపణలు	ఎదుర్కొంటున్న	సమాజ్
ఎదుర్కొంటున్న	సమాజ్	వాదీపార్టీ
ప్రశ్నిస్తూ	ఉత్తరప్రదేశ్	ముఖ్యమంత్రి
ఘాటు	లేఖ	రాశారు
కేసులో	మంత్రి	తప్పించుకు
మంత్రి	తప్పించుకు	తిరుగుతుండడంతో
తప్పించుకు	తిరుగుతుండడంతో	నాన్బైలబుల్
వారెంట్	జారీ	అయ్యింది
గౌరవానికి	సంబంధించి	ప్రశ్నలు
పని	చేయకుండా	పరారీలో
కుమార్తెపై	వేధింపులకు	పాల్పడిన
వేధింపులకు	పాల్పడిన	ఆరోపణలపై
పాల్పడిన	ఆరోపణలపై	ప్రజాపతి
రాగానే	ప్రజాపతి	అరెస్ట్
రైతుకు	చేరడంలో	జాప్యమవుతుండటంతో
చేరడంలో	జాప్యమవుతుండటంతో	పంట
జాప్యమవుతుండటంతో	పంట	నష్టపోయిన
పంట	నష్టపోయిన	రైతు
నష్టపోయిన	రైతు	పరిహారం
సొమ్ము	పక్కదారి	పడుతోందన్న
పక్కదారి	పడుతోందన్న	విమర్శలూ
కుమారుడికి	బుద్ధిమాంద్యం	ఉండటంతో
జరిగిన	రోడ్డు	ప్రమాదంలో
ప్రమాదం	జరిగినట్టు	పోలీస్
ఆసుపత్రికి	తరలించినా	ఫలితం
మృతి	చెందారని	డాక్టర్లు
ప్రమాదానికి	కారణమని	చెప్పారు
బస్సును	ఛేజ్	చేసి
పోరాడుతున్న	పన్నీర్	సెల్వం
మృతిపై	అధికారం	కోల్పోయిన
అధికారం	కోల్పోయిన	క్షణం
వదంతులు	ప్రచారం	చేస్తున్నారని
మృతిపై	దర్యాప్తు	చేపట్టకపోతే
దర్యాప్తు	చేపట్టకపోతే	మార్చి
నేతలతో	కలిసి	నిరాహారదీక్షకు
నిరాహారదీక్షకు	దిగుతానని	పన్నీర్
దిగుతానని	పన్నీర్	సెల్వం
పన్నీర్	సెల్వం	హెచ్చరించిన
సెల్వం	హెచ్చరించిన	నేపథ్యంలో
ఓపీఎస్	వర్గం	వాదిస్తోంది
కుట్ర	పన్నుతున్నారని	ఆగ్రహం
పన్నుతున్నారని	ఆగ్రహం	వ్యక్తం
ఆగ్రహం	వ్యక్తం	చేశారు
ప్రజలు	సమరశంఖం	పూరించనున్నారా
ఆర్బీఐ	అనుసరిస్తున్న	తీరు
బ్యాంకుల	వ్యవహారంపై	నిలదీయనున్నారా
ఇష్టమొచ్చిన	రీతుల్లో	వివిధరకాల్లో
నిబంధనలతో	ఇబ్బందుల	పెట్టే
ఇబ్బందుల	పెట్టే	చర్యలకు
చర్యలకు	దిగిన	బ్యాంకులపై
దిగిన	బ్యాంకులపై	పబ్లిక్
బ్యాంకులపై	పబ్లిక్	దండెత్తనుందని
పబ్లిక్	దండెత్తనుందని	వార్తలు
సర్వీస్చార్జీలు	బ్యాంకులకు	కట్టాల్సివస్తుందని
ట్యాక్స్	ప్రభుత్వానికి	కడుతున్నామని
రోజుకో	నిబంధనలు	తీసుకొచ్చి
నిబంధనలు	తీసుకొచ్చి	కొత్తవసూళ్లు
నిర్ణయాలు	తీసుకోకుండా	బ్యాంకులను
ఆర్బీఐపై	నియంత్రణే	లేకుండా
బ్యాంకులు	గడ్డుపరిస్థితిని	ఎదుర్కొనే
గడ్డుపరిస్థితిని	ఎదుర్కొనే	అవకాశం
నిందితుడు	చనిపోవడంతో	మృతుడి
చనిపోవడంతో	మృతుడి	బంధువులు
బంధువులు	గందరగోళం	సృష్టించారు
సస్పెండ్	చేసినట్లు	ఎస్పీ
రోజూ	తాగొచ్చి	తల్లిని
ఫిర్యాదు	చేయగా	పోలీసులు
చేయగా	పోలీసులు	కేసు
పోలీసులు	కేసు	నమోదుచేశారు
యువతి	తండ్రిని	బర్హారా
తండ్రిని	బర్హారా	పోలీసులు
బర్హారా	పోలీసులు	అదుపులోకి
పోలీసులు	అదుపులోకి	తీసుకున్నారు
పోలీస్	కస్టడీలో	చనిపోయాడని
కస్టడీలో	చనిపోయాడని	గ్రామస్థులకు
మృతుడి	బంధువులకు	తెలిసింది
ఆవేశంతో	వచ్చినవారు	పోలీసులపై
వచ్చినవారు	పోలీసులపై	రాళ్ల
స్టేషన్లో	నిప్పు	పెట్టడంతో
గ్రామస్థులు	నిప్పు	పెట్టడంతో
అదుపులోకి	తీసుకుని	విచారణ
విచారణ	చేపట్టినట్లు	ఎస్పీ
వాహనాలకు	అడ్డం	వస్తే
పోలీసులకు	ఇచ్చిన	ఫిర్యాదులో
కార్లన్ని	రుసుము	చెల్లించకుండానే
వచ్చి	కార్లకు	అడ్డం
కార్లకు	అడ్డం	నిల్చున్నాడు
పోలీసులకు	ఫిర్యాదు	ఇచ్చిన
ఫిర్యాదు	ఇచ్చిన	నేపథ్యంలో
ఇచ్చిన	నేపథ్యంలో	సదరు
అలువా	కోర్టులో	ప్రవేశపెట్టారు
నిర్ధారణ	పరీక్ష	చేస్తేనే
పరీక్ష	చేస్తేనే	కేసు
చేస్తేనే	కేసు	విచారణ
నిందితుడు	సునీ	పొంతనలేని
సునీ	పొంతనలేని	విషయాలు
డిటెక్టర్	పరీక్ష	నిర్వహించవద్దని
లేనని	కోర్టులో	పల్సర్
కేసుకు	సంబంధం	ఉన్న
అదుపులోకి	విచారిస్తున్న	పోలీసులకు
విచారిస్తున్న	పోలీసులకు	ఆధారాలు
నటిని	కిడ్నాప్	చేసి
కిడ్నాప్	చేసి	కారులో
ఇంటికి	బయలుదేరిన	నటిని
బయలుదేరిన	నటిని	కొచ్చిలో
వ్యక్తులు	కిడ్నాప్	చేసి
కిడ్నాప్	చేసి	లైంగికవేధింపులకు
లైంగిక	వేధింపులకు	గురిచేసిన
వేధింపులకు	గురిచేసిన	విషయం
పాతనోట్లను	తీసుకోవట్లేదని	ప్రజల
ఆర్బీఐ	అనుమతించట్లేదని	సుప్రీంకోర్టులో
అనుమతించట్లేదని	సుప్రీంకోర్టులో	పిటిషన్
సుప్రీంకోర్టులో	పిటిషన్	దాఖలైంది
వివరణ	ఇవ్వాలని	సుప్రీంకోర్టు
తేదికి	వాయిదా	వేసింది
కళ్లలో	నీళ్లు	తిరుగుతున్నాయి
చక్రవర్తి	ఔరంగజేబు	గౌరవించకుండా
ఔరంగజేబు	గౌరవించకుండా	ఆగ్రా
గౌరవించకుండా	ఆగ్రా	జైలులో
ఆగ్రా	జైలులో	ఉంచడం
మరాఠాలు	స్వాధీనం	చేసుకోలేకపోతున్నారు
శత్రువుల	ఆధీనంలో	ఉండటం
చూసిన	జిజాభాయ్	తీవ్ర
తీవ్ర	వేదనకు	గురైంది
శత్రువుల	ఆధీనంలో	ఉన్న
అయిష్టతను	వ్యక్తం	చేసింది
సాధ్యం	కాదని	గస్తీ
దళాలు	గుర్తించడంతో	పోరు
సైనికులను	అనేకమందిని	హతం
రాథోడ్	తో	తలపడ్డాడు
ఉదయ్	భాన్	కత్తి
గుడ్డతో	చేయిని	కట్టుకొని
ఇద్దరు	ప్రాణాలు	కోల్పోయారు
వీరమరణం	పొందిన	సమాచారాన్ని
ఉత్సాహంతో	మొఘలులపై	పడ్డారు
మొఘల్	సైన్యం	కకావికలైంది
అనేకమంది	కోట	గోడల
లోయల్లోకి	దూకి	ప్రాణాలు
మరాఠాల	ఆధీనంలోకి	వచ్చింది
ఆవేదన	వ్యక్తం	చేశాడు
దేశాలను	ఆందోళనకు	గురిచేస్తున్న
ప్రయోగాలతో	ఆందోళన	చెందిన
బేఖాతరు	చేస్తూ	పలుమార్లు
ఆందోళన	వ్యక్తం	చేస్తున్నాయి
బాధపడే	కంగనా	వ్యవహారంతో
అన్నివేళలా	ఒకరే	బాధితులవడం
కంగనాకి	చురకంటించాడు	కరణ్
పెరుగుతున్న	కాలుష్యం	చిన్నారుల
జీవితాలను	బలి	తీసుకుంటోంది
చిన్నారులు	మృత్యువాత	పడుతున్నారు
కాలుష్యం	పెరుగుతోందని	డబ్ల్యూహెచ్
ఆరోగ్య	సమస్యలు	తలెత్తుతున్నట్లు
వాతావరణం	బారిన	పడుతున్నట్లు
బారిన	పడుతున్నట్లు	డబ్ల్యూహెచ్
ఉన్న	అపరిశుభ్ర	వాతావరణం
పుట్టిన	చిన్నారులకు	రోగాలు
చిన్నారులకు	రోగాలు	వ్యాపిస్తున్నట్లు
శ్వాససంబంధ	వ్యాధులతో	బాధపడుతున్నట్లు
వ్యాధులతో	బాధపడుతున్నట్లు	నివేదికలో
రోగాలకు	దారి	తీస్తోందని
మాట్లాడుతూ	ప్రజల్లో	అనైక్యత
ప్రజల్లో	అనైక్యత	తేవాలని
ఇవ్వని	సంక్షేమ	కార్యక్రమాలు
చెడు	ప్రభావం	చూపుతుందో
వ్యవహారాలపైనే	వదంతులు	వినిపిస్తుంటాయి
ముఖేశ్	అగర్వాల్	చనిపోయిన
వివాహం	చేసుకున్నారని	వదంతులు
విషయాలన్నీ	పుస్తకంలో	ప్రస్తావించలేదని
పుస్తకంలో	ప్రస్తావించలేదని	ప్రజలు
ప్రస్తావించలేదని	ప్రజలు	పుస్తకాన్ని
వారిద్దరూ	ప్రేమించుకుంటున్నట్లు	పుకార్లు
వదంతులు	రోజురోజుకీ	పెరిగిపోతుండడంతో
నిజమేనేమోనని	గాసిప్స్	సృష్టిస్తున్నారని
తీవ్ర	మనస్థాపానికి	గురవుతున్నారు
గతంలో	ఆత్మహత్యాయత్నం	చేసుకున్న
చేసిన	తప్పు	మరొకరు
జీవితాన్ని	పాడు	చేసుకున్నాడట
అనుమానాస్పద	స్థితిలో	మృతిచెంది
విచారణ	జరుగుతోందని	అధికారులు
పూర్తి	సమాచారం	అందలేదు
జాత్యహంకార	దాడులు	జరుగుతున్న
దాడులు	జరుగుతున్న	నేపథ్యంలో
జరుగుతున్న	నేపథ్యంలో	ఘటనపై
ఘటనపై	సందేహాలు	వ్యక్తమవుతున్నాయి
సంబంధించిన	వ్యక్తిగత	విషాదమని
విద్వేషపూరిత	నేరం	కాకపోవచ్చని
నేరం	కాకపోవచ్చని	అధికారులు
కోహ్లీకి	ఏకాగ్రత	కుదరడంలేదని
పరుగులకే	ఔట్	అయిన
ఔట్	అయిన	సంగతి
ఉన్న	కోహ్లీ	ఎల్బీ
ఎల్బీ	ఔటయినట్టు	గ్రహించకపోవడం
భారతీయులపై	విద్వేషప్రచారం	కొనసాగుతూనే
ఉన్మాది	కాల్చిచంపిన	విషయం
వీడియోలపై	చర్యలు	తీసుకోవాలని
ప్రకంపనలు	సృష్టించిన	సంగతి
కేసుతో	ఇబ్బంది	పడుతున్న
ఇబ్బంది	పడుతున్న	ధనుష్
పడుతున్న	ధనుష్	కుటుంబానికి
ఏవరైనా	ప్రాణాలు	తీసుకుంటే
సమంతను	తీసుకున్నట్లు	పుకార్లు
విషయాన్ని	నిర్ధారిస్తూ	సోమవారం
నిర్ధారిస్తూ	సోమవారం	చిత్ర
విమానయాన	సౌకర్యం	లేదు
విమానాశ్రయమే	లేనప్పుడు	పాస్
లేనప్పుడు	పాస్	పోర్టులు
వివాదాస్పద	వ్యాఖ్యలు	చేశారు
వివాదం	చోటు	చేసుకున్న
ఉంటే	పోలీసుల	పీక
పోలీసుల	పీక	పిసికేసేవాడినన్నారు
రిటైర్	కానున్న	విరాట్
విరాట్	రిటైర్	అవుతోంది
జయలలిత	మృతిపై	వస్తున్న
మృతిపై	వస్తున్న	వదంతుల
వస్తున్న	వదంతుల	నేపథ్యంలో
మరణానికి	సంబంధించిన	వైద్య
జయలలిత	ఆస్పత్రిలో	చేరారని
ఆస్పత్రిలో	చేరారని	నివేదికలో
చేరారని	నివేదికలో	ఎయిమ్స్
మృతిపై	వస్తున్న	ఆరోపణలు
అనుమానాలు	వ్యక్తం	చేసిన
గుండెల్లో	గుబులు	రేపుతోంది
ఉద్యోగాలను	విదేశీయులు	తీసుకుపోతున్నారనే
సంస్థలపైనా	ఆరోపణలు	గుప్పించారు
ఐటీ	కార్మికులకు	హానిచేస్తున్నాయి
కలిసి	కుటిల	విధానాలను
కుటిల	విధానాలను	అనుసరిస్తున్నాయి
ఘట్టం	దిగ్భ్రాంతి	గొలిపింది
వూపిరి	ఆడడం	కష్టమై
కార్పొరేట్	ఆసుపత్రికి	తరలిస్తుండగా
ఆసుపత్రికి	తరలిస్తుండగా	మార్గమధ్యంలోనే
తరలిస్తుండగా	మార్గమధ్యంలోనే	ప్రాణాలు
మార్గమధ్యంలోనే	ప్రాణాలు	వదిలాడు
అభిమానులు	విషాదంలో	మునిగిపోయారు
అభిమానులు	నిరీక్షణలో	పడిపోయారు
జాయింట్	రిజిస్ట్రార్	అనుమతించలేదు
డీడీసీఏ	అక్రమాలకు	సంబంధించిన
అక్రమాలకు	సంబంధించిన	దస్త్రాల
సంబంధించిన	దస్త్రాల	గల్లంతుకే
దస్త్రాల	గల్లంతుకే	చేపట్టారనే
గల్లంతుకే	చేపట్టారనే	వాదనను
ముందస్తు	సమాచారం	లేదని
సమాచారం	లేదని	స్పష్టం
ఎదుర్కొంటున్న	ఐదుగురు	ఆప్
మాథ్యూ	మృతిచెందిన	ఘటన
సైనికులకు	శిక్ష	లాంటిదేనంటూ
శిక్ష	లాంటిదేనంటూ	ఫేస్
అధికారులు	చిన్నచూపు	చూస్తున్నారని
చిన్నచూపు	చూస్తున్నారని	ఆవేదన
శిక్షిస్తున్నారని	జోగిదాస్	అన్నాడు
విషయాలపై	ఫిర్యాదులు	చేసినా
ఆర్మీ	కస్టడీలో	ఉంచారు
అనుమానాస్పద	మృతి	చెందిన
మృతి	చెందిన	విషయం
పనిచేయని	ఉపగ్రహాల	స్థానాన్ని
కర్ఫ్యూ	విధించాలని	వ్యాఖ్యానించారు
చేయడంతో	నెటిజన్లు	ఆగ్రహం
కామెంట్లు	రావడంతో	కేంద్రమంత్రి
ఇద్దరికీ	నిబంధనలు	వర్తిస్తాయని
మాధ్యమాల్లో	విమర్శలు	వెల్లువెత్తాయి
కర్ఫ్యూ	విధించాలని	సూచించిన
విధించాలని	సూచించిన	కేంద్రమంత్రిని
కేజీలు	మాత్రమేనని	వైద్యులు
అవకాశాలు	లేనందున	సర్జరీ
రుసుముల	మోత	మోగించడమే
మోత	మోగించడమే	ఏకైక
మోగించడమే	ఏకైక	పరిష్కారం
భావించడమే	మింగడుపడని	పరిణామం
రుసుము	అదనం	అనుకోండి
హోరులో	ప్రాణాలు	తీశాడు
సగటు	బ్యాలెన్సు	లేకపోతే
బ్యాలెన్సు	లేకపోతే	జరిమానా
భోజనానికీ	ఆధార్	తప్పనిసరి
స్కైప్	వైఫైను	నిలిపివేస్తున్న
వైఫైను	నిలిపివేస్తున్న	మైక్రోసాఫ్ట్
కాల్	సెంటర్లను	తరలిస్తే
తరలిస్తే	రాయితీలు	కట్
జగన్కు	పరాభవం	తప్పదు
పరాభవం	తప్పదు	టీడీపీ
వైఎస్	ఆత్మ	క్షోభిస్తుంది
సెల్	ఫోన్	పగులగొట్టిన
ఫోన్	పగులగొట్టిన	ప్రకాష్
పగులగొట్టిన	ప్రకాష్	రాజ్
కార్పొరేషన్లకు	ఛైర్మన్లను	ప్రకటించిన
ఛైర్మన్లను	ప్రకటించిన	సీఎం
మీడియా	సమావేశం	కామినేని
ఎంసెట్	నోటిఫికేషన్	ఆలస్యానికి
బాయ్స్	పేరుతో	దూసుకువెళ్తున్న
జనావాసాలమీద	కూలిన	విమానం
దాడి	చేయడానికి	అవకాశాలు
ఎమ్మెల్యేలపై	చర్యలు	తీసుకోండి
అన్యాయం	మరెవరికీ	జరగొద్దు
ప్రజాప్రతినిధులను	కొనేందుకు	సీఎం
కొనేందుకు	సీఎం	ప్రయత్నం
కళాశాలలో	కొనసాగుతున్న	ఉద్రిక్తత
మూడేళ్లలో	సాధించిందేమీ	లేదు
సాధించిందేమీ	లేదు	అఖిలేష్
పోలీస్	అధికారిని	చితక్కొట్టిన
అధికారిని	చితక్కొట్టిన	మహిళ
బాంబు	పేలుళ్లతో	దద్ధరిల్లిన
పేలుళ్లతో	దద్ధరిల్లిన	పాకిస్తాన్
స్టాండ్	తీసుకోడానికి	కారణం
తీరుపై	పిర్యాదు	చేయన్ను
పిర్యాదు	చేయన్ను	సీఎం
ముగ్గురుని	జయ	బహిష్కరించినప్పుడు
జయ	బహిష్కరించినప్పుడు	శశి
తమిళనాడు	రాజకీయ	ప్రతిష్ఠంభనకు
రాత్రంతా	నిద్రపట్టక	ఇబ్బంది
లోటస్పాండ్లో	భూకంపం	బొండా
భూకంపం	బొండా	ఉమా
భయపెడుతున్న	ఓరోవిల్లీ	ఆనకట్ట
శిబిరంలో	రోజురోజుకి	తగ్గుతున్న
మరొకరిని	తొలగించిన	శశికళ
రాష్ట్రంలో	నేరాలు	జరుగుతాయి
నేరాలు	జరుగుతాయి	శశికళ
ఏవోబీని	జల్లెడ	పడుతున్న
జల్లెడ	పడుతున్న	భద్రతా
పాకిస్తానుకు	వీసాలు	నిలిపేయాలని
వీసాలు	నిలిపేయాలని	ట్రంప్ను
గోవాలో	పట్టుబడ్డ	నకిలీ
ఆడపిల్లలను	చంపేయడమే	మంచిది
చంపేయడమే	మంచిది	గౌతమి
అన్నివిధాల	నష్టపోయింది	మేకపాటి
ట్విట్టర్లో	అభిమానులను	రెచ్చగొడితే
ఉద్యమాన్ని	వాయిదా	వేయించారు
పులివెందుల	రౌడీయీజం	చేస్తే
రౌడీయీజం	చేస్తే	కఠినచర్యలు
కఠినచర్యలు	తప్పవు	బాబు
ఏపీకి	జరిగిన	అన్యాయాన్ని
జరిగిన	అన్యాయాన్ని	కేంద్రం
రాష్ట్రంలో	లేరు	మంత్రి
లేరు	మంత్రి	ఉమ
మోదీకి	ఫోన్	చేయనున్న
చేరిన	మృతుల	సంఖ్య
చేరిన	రైల్	ప్రమాద
చేరిన	రైలు	ప్రమాద
అధ్యక్షుడు	కాకూడదు	నిరసనకారులు
ఆర్డినెన్స్	జారీ	చేయకపోతే
జారీ	చేయకపోతే	ఉద్యమం
చేయకపోతే	ఉద్యమం	ఉధృతం
కాకాణిపై	చర్యలకు	సిద్ధమవుతున్న
పక్షపాత	వైఖరి	తగదు
వైఖరి	తగదు	ఒబామా
బీజేపీ	నాశనం	చేసింది
విస్తరిస్తున్న	స్వైన్	ఫ్లూ
సైతం	ఈర్ష్య	పడేంత
ఈర్ష్య	పడేంత	సౌందర్యం
టీజర్కు	షాక్	ఇచ్చిన
షాక్	ఇచ్చిన	పోలీసులు
ఉద్యమాన్ని	రాజకీయానికి	వాడుకుంటున్న
రాజకీయానికి	వాడుకుంటున్న	ముద్రగడ
వాడుకుంటున్న	ముద్రగడ	కాపు
అవినీతిపై	ప్రాజెక్టుల	వద్దే
ప్రాజెక్టుల	వద్దే	బహిరంగ
వద్దే	బహిరంగ	చర్చ
బహిరంగ	చర్చ	చేపట్టాలి
వివాదాస్పద	వ్యాఖ్యలు	చేసిన
నడిరోడ్డుపై	బీభత్సం	సృష్టించిన
బీభత్సం	సృష్టించిన	కారు
సీబీఐపైనే	కేసు	పెట్టిన
కేసు	పెట్టిన	నయనా
